파도,78,189
솔바,56,176
석나,99,167
하바,95,178
민다,68,181
파파,74,189
가사,88,182
다미,45,177
라다,98,185
도미,94,171
가라,95,188
레타,69,189
라석,59,174
파가,79,180
아다,88,172
라마,63,175
도파,99,177
바파,90,166
다차,41,165
바차,65,183
나하,46,166
가타,44,175
마나,58,173
솔민,70,184
나라,86,189
도카,94,185
자솔,96,184
도파,93,171
파파,72,161
하시,76,181
아시,74,162
레하,80,173
도하,41,163
하민,58,183
파미,45,177
레시,63,174
파가,99,179
다타,47,163
하차,69,165
석라,52,165
미아,95,165
도라,91,178
도시,65,180
도도,50,168
파도,69,170
라라,94,184
카라,50,185
다라,54,180
도하,90,170
자미,60,162
자사,79,164
민시,56,163
바카,51,167
차다,90,167
가마,60,169
도미,57,175
바차,64,170
다카,73,178
아솔,66,160
라파,67,170
다파,76,184
마나,55,185
자라,72,160
아석,88,168
민레,47,168
타도,66,171
석타,81,174
바미,50,180
아카,40,186
석타,82,185
바가,41,185
미라,59,188
다파,73,173
다바,63,183
사아,44,173
파아,48,162
레바,70,174
마사,65,181
레차,78,176
사마,65,172
자사,91,182
아나,71,171
아가,47,168
라가,49,189
다사,87,169
자솔,92,169
차다,55,174
마파,56,180
바차,69,184
파하,79,165
석도,97,184
솔미,73,184
솔아,45,187
라다,61,165
민바,68,179
카다,71,176
타시,80,163
도차,87,185
시마,91,186
미마,73,169
바파,96,166
바라,54,180
나민,79,164
나미,46,164
시레,96,179
다파,65,163
아라,63,181
라레,67,177
차차,68,172
파타,61,173
마카,46,171
타레,85,170
파자,44,181
아차,77,173
카미,40,174
도라,94,171
시파,43,179
도가,46,189
파타,41,186
라카,44,169
자석,61,179
자카,90,186
가마,50,174
바레,69,187
바다,85,174
다마,85,181
바차,58,166
미타,80,189
바카,82,189
자파,63,185
나차,97,178
차사,59,165
하도,68,169
타석,43,160
라파,91,186
바나,59,175
바마,46,171
다나,70,169
아파,83,182
라라,42,161
파석,94,168
차미,79,184
아미,71,188
자솔,84,183
하다,60,163
민시,81,164
가솔,85,187
민사,69,160
민카,73,168
민자,60,169
마차,41,168
미파,63,171
석나,75,184
미자,77,165
파도,51,182
라미,44,164
시자,50,165
다라,82,183
차사,84,176
타라,42,181
바바,48,182
마바,80,161
도바,90,180
사레,79,167
